PROCESSID,STATUS,LOCALIP,LOCALPORT,REMOTEIP,REMOTEPORT
None,NONE,127.0.0.1,55299,,,
2536,ESTABLISHED,192.168.0.121,52524,addr(ip='185.199.108.154', port=443)
45729,NONE,0.0.0.0,39955,,,
2536,ESTABLISHED,192.168.0.121,38622,addr(ip='52.39.96.8', port=443)
None,FIN_WAIT1,192.168.0.121,46718,addr(ip='34.122.121.32', port=80)
45729,NONE,0.0.0.0,46478,,,
None,FIN_WAIT1,192.168.0.121,43322,addr(ip='52.39.37.230', port=443)
45729,NONE,0.0.0.0,40054,,,
2536,ESTABLISHED,192.168.0.121,52992,addr(ip='140.82.114.26', port=443)
2536,ESTABLISHED,192.168.0.121,52404,addr(ip='20.207.73.85', port=443)
45729,NONE,0.0.0.0,47479,,,
45729,NONE,0.0.0.0,35543,,,
None,TIME_WAIT,::ffff:192.168.0.121,50906,addr(ip='::ffff:192.168.0.121', port=8096)
47274,ESTABLISHED,127.0.0.1,55460,addr(ip='127.0.0.1', port=4444)
45729,NONE,0.0.0.0,55332,,,
None,CLOSE_WAIT,192.168.0.121,34210,addr(ip='146.83.205.200', port=443)
44778,ESTABLISHED,127.0.0.1,4444,addr(ip='127.0.0.1', port=55460)
47274,ESTABLISHED,127.0.0.1,55456,addr(ip='127.0.0.1', port=4444)
None,TIME_WAIT,192.168.0.121,50432,addr(ip='34.107.221.82', port=80)
45729,NONE,0.0.0.0,40958,,,
45729,NONE,0.0.0.0,49186,,,
None,NONE,::,7359,,,
None,TIME_WAIT,192.168.0.121,50460,addr(ip='34.107.221.82', port=80)
44778,LISTEN,127.0.0.1,4444,,,
45729,NONE,0.0.0.0,55297,,,
45729,NONE,0.0.0.0,40801,,,
45729,NONE,0.0.0.0,44162,,,
None,LISTEN,::,8096,,,
45729,NONE,0.0.0.0,45111,,,
45729,NONE,0.0.0.0,60097,,,
45729,NONE,::,58731,,,
45729,NONE,0.0.0.0,34332,,,
None,FIN_WAIT1,192.168.0.121,56450,addr(ip='140.82.114.26', port=443)
1778,NONE,::,1716,,,
None,NONE,0.0.0.0,1900,,,
45729,NONE,0.0.0.0,35568,,,
None,NONE,0.0.0.0,42361,,,
45729,NONE,0.0.0.0,33732,,,
None,LISTEN,127.0.0.1,631,,,
2536,ESTABLISHED,192.168.0.121,52304,addr(ip='34.160.144.191', port=443)
1778,LISTEN,::,1716,,,
None,LAST_ACK,192.168.0.121,41004,addr(ip='140.82.114.22', port=443)
None,CLOSE_WAIT,192.168.0.121,34196,addr(ip='146.83.205.200', port=443)
None,NONE,192.168.0.121,46944,,,
45729,NONE,0.0.0.0,52230,,,
2536,ESTABLISHED,192.168.0.121,40990,addr(ip='140.82.114.22', port=443)
2536,ESTABLISHED,192.168.0.121,35776,addr(ip='108.159.61.20', port=443)
45729,NONE,0.0.0.0,34779,,,
None,ESTABLISHED,192.168.0.121,40656,addr(ip='202.61.244.119', port=443)
2536,ESTABLISHED,192.168.0.121,57326,addr(ip='34.120.208.123', port=443)
45729,NONE,0.0.0.0,43660,,,
2536,ESTABLISHED,192.168.0.121,40810,addr(ip='20.207.73.82', port=443)
44778,ESTABLISHED,127.0.0.1,4444,addr(ip='127.0.0.1', port=55456)
45729,NONE,0.0.0.0,57632,,,
2536,ESTABLISHED,192.168.0.121,54302,addr(ip='185.199.109.133', port=443)
45729,NONE,0.0.0.0,57237,,,
None,ESTABLISHED,192.168.0.121,54436,addr(ip='5.39.83.67', port=80)
45729,NONE,0.0.0.0,32970,,,
45729,NONE,0.0.0.0,35706,,,
None,LISTEN,::1,631,,,
2536,ESTABLISHED,192.168.0.121,39096,addr(ip='34.102.187.140', port=443)
45729,NONE,0.0.0.0,45899,,,
None,LISTEN,::,80,,,
None,NONE,192.168.0.121,68,addr(ip='192.168.0.1', port=67)
